id,level_id,title,order,bullet1,bullet2,bullet3,bullet4
1,1,WHAT IS A STOCK?,1,A stock represents ownership in a company,When you buy a stock, you're buying a piece of that business,Think of a company as a whole pizza - owning a stock is like holding one slice,It means you now own a part of the company and share in both the risks and the rewards
2,2,SHARES,1,A share is one specific unit of ownership,It tells you exactly how much of the company you own,Think of a stock as a whole bar of chocolate - owning a share is like owning one square,The more squares you have, the more of the company you own
3,3,SUPPLY AND DEMAND,1,There are only a finite amount of shares a company can have,Stock prices are based on supply and demand,When more people want to buy than sell, prices go up,When more people want to sell than buy, prices go down
4,7,COMPANY,1,A company is an organized business that sells products or services,It can have employees, managers, and owners,All work together to run operations and grow the business,When you buy a stock, you become a partial owner of the company
5,8,OWNERSHIP BENEFITS,1,Owning stock means you benefit when the company grows,You also share in the risk if it fails,Your ownership represents a piece of the company's future,Potential rewards come with potential risks
6,11,IPO,1,IPO stands for Initial Public Offering,It's when a private company sells shares to the public for the first time,Imagine a bakery opening its doors to the public for the first time,The IPO is like that grand opening where people can buy slices (shares)
7,12,PUBLIC COMPANY,1,A public company's shares are available to anyone on the stock market,The general public can become part-owners by purchasing stock,Shares are traded freely in the stock market,Company value changes constantly based on market activity
8,13,PRIVATE COMPANY,1,A private company is owned by a small group like founders or family,Its shares are not available to the public,Ownership is typically more concentrated,Less regulatory requirements than public companies
9,17,IPO PURPOSE,1,IPOs are a company's way of raising money from the public,Companies exchange partial ownership for capital,This money can be used for growth and expansion,It's a major milestone in a company's development
10,18,PUBLIC TRADING,1,Once a company goes public, its shares trade freely,Anyone can buy or sell shares on the stock market,The company's value changes every second,Market forces determine the stock price
11,20,DIVIDEND,1,A dividend is money a company pays to shareholders from profits,It's a way for the company to share earnings with owners,Think of it like receiving a portion of the company's profits,Not all companies pay dividends
12,21,DIVIDEND YIELD,1,Dividend Yield is the percentage return from dividends relative to stock price,Formula: (Annual Dividend per Share / Stock Price) × 100,It helps compare dividend returns across different stocks,A higher yield doesn't always mean better investment
13,24,CAPITAL GAINS,1,Capital gains are profit from selling something for more than you paid,For stocks, it's the difference between buying and selling price,You only realize capital gains when you sell,They're one of two main ways to earn from stocks
